EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Trigger
2062.8196807212057,-176.31191906681514,1145.6880690242408,-4662.661291763179,-10449.39591880482,-9444.674022424542,-6697.304410477489,-14323.506469533942,0.0
2064.3321166361998,-175.1567514781977,1148.593851412103,-4660.2556850322435,-10450.170000178634,-9445.41237696572,-6689.027694249767,-14307.393668014362,0.0
2063.474672652896,-180.3609600990824,1145.1402575904633,-4665.412257876277,-10456.100654396485,-9450.568949809754,-6694.458172810689,-14290.661601395728,0.0
2062.9983148843935,-179.1343388451897,1145.2117112557387,-4666.734150683871,-10457.38682037144,-9449.116058615822,-6695.660976176157,-14272.619550913712,0.0
2064.4273881899003,-175.2043872550479,1147.7125895403744,-4664.757265944588,-10453.730774498188,-9445.65055584997,-6691.945385581841,-14256.399568896219,0.0
2062.9625880517565,-177.43135982279492,1144.8663518735746,-4666.769877516508,-10453.9332265498,-9448.127616246182,-6693.898452432699,-14250.373643124669,0.0
2060.9618854240475,-177.60999398598315,1145.7357048010908,-4665.769526202655,-10451.634800316777,-9447.13917387654,-6692.409834406131,-14264.223745243864,0.0
2062.224233510578,-176.57391583949124,1146.7241471707327,-4664.042729291835,-10449.765096075407,-9445.055108639343,-6690.575856997398,-14279.062289732703,0.0
2061.8669651842015,-179.52733400420385,1143.985090001846,-4665.567074151041,-10451.086988883,-9446.543726665912,-6692.100201856604,-14299.152678619275,0.0
2059.8186267796427,-179.62260555790428,1143.7230932291698,-4663.840277240221,-10448.514656933088,-9446.75808766174,-6692.671831178807,-14312.70505713316,0.0
2057.8417420403593,-181.7662155161634,1141.0316718371332,-4667.56777677875,-10451.59907348414,-9447.532169035554,-6694.470081754902,-14315.074937031457,0.0
2059.389904787991,-179.96796494006824,1140.9602181718578,-4669.580388350671,-10451.348985655675,-9445.424285909932,-6689.98040978677,-14301.653556903913,0.0
2062.1646887895154,-177.8243549818091,1143.8779095039329,-4665.745708314229,-10448.1454796625,-9441.649150594554,-6688.7537885328775,-14283.43287225871,0.0
2062.9030433306934,-177.8719907586593,1146.0691552390424,-4663.18528530853,-10447.943027610887,-9441.125157049202,-6687.539076223197,-14263.759296419576,0.0
2064.820383348914,-184.07655069339827,1141.7581174340987,-4666.86514907021,-10451.515710874652,-9442.47086774522,-6687.741528274811,-14250.14737318463,0.0
2062.7125002232924,-185.68425816209262,1138.387886221947,-4671.176186875153,-10454.945486807866,-9442.887680792659,-6687.515258334772,-14242.48992205596,0.0
2062.70059127908,-181.61139924140025,1139.6383253642648,-4670.9380079909015,-10454.147587545625,-9442.137417307269,-6684.549931225847,-14254.541773599061,0.0
2066.392363984971,-180.96831625392252,1139.4835090895017,-4669.628024127521,-10451.444257209376,-9440.124805735348,-6682.7516806497515,-14270.13058157329,0.0
2066.7496323113473,-177.30036143645685,1142.8775581900786,-4665.352713155215,-10446.287684365343,-9438.469462489804,-6683.1684936971915,-14290.411513567264,0.0
2062.6053197253796,-178.1816233081856,1143.81836478287,-4665.507529429979,-10448.181206495137,-9444.173846767615,-6689.384962576142,-14308.798923431443,0.0
2060.5212544881833,-180.98022519813506,1142.841831357441,-4666.281610803794,-10448.538474821515,-9447.722712142955,-6693.267278389434,-14314.348491434492,0.0
2061.4382431925496,-179.76551288845488,1144.6519908777489,-4664.340452897148,-10445.835144485265,-9445.209924914107,-6691.75484247444,-14300.045849435217,0.0
2062.4266855621913,-175.43065719508638,1148.2365830857266,-4660.898768019721,-10441.250200963432,-9439.827082130034,-6696.363603884698,-14284.087864190398,0.0
2064.3321166361998,-174.6923026539082,1148.4747619699776,-4661.256036346098,-10441.595560345599,-9439.041091812005,-6695.553795678244,-14259.817435885221,0.0
2064.177300361436,-177.13363621748113,1146.0691552390424,-4664.2570902876605,-10445.370695660975,-9446.6270892754,-6698.030856074454,-14244.764530400556,0.0
2062.9149522749058,-179.4201535062909,1142.1392036489003,-4667.722593053512,-10449.87227657332,-9451.593119012034,-6700.9842742391675,-14240.703580424077,0.0
2064.0939377519485,-179.52733400420385,1142.496471975277,-4666.817513293358,-10448.359840658326,-9448.163343078819,-6699.852924538975,-14255.423035470789,0.0
2064.629840241513,-182.99283677005616,1141.1031255024084,-4666.662697018596,-10448.097843885651,-9447.436897481854,-6700.293555474839,-14271.774015874622,0.0
2060.7713423166465,-182.9094741605683,1140.769675064457,-4667.627321499813,-10448.490839044665,-9445.257560690958,-6693.898452432699,-14292.805211353987,0.0
2060.0806235523187,-181.9329407351391,1140.1146831327667,-4668.413311817841,-10447.728666615061,-9444.828838699304,-6692.147837633454,-14307.06021757641,0.0
2060.556981320821,-180.73013736967147,1140.5672230128437,-4668.913487474767,-10448.062117053012,-9443.804669497025,-6691.326120482789,-14309.39437064207,0.0
2061.807420463139,-183.69546447859665,1137.3160812428173,-4671.747816197355,-10450.348634341823,-9442.649501908409,-6689.289691022443,-14298.569140352862,0.0
2061.4144253041245,-186.0057996558315,1136.875450306953,-4672.962528507035,-10450.360543286035,-9441.911147367231,-6688.849060086578,-14282.59924616383,0.0
2061.1286106430234,-184.80299629036386,1138.4236130545846,-4673.2007073912855,-10453.218689897049,-9445.543375352057,-6689.32541785508,-14261.54423279604,0.0
2062.783953888568,-183.26674248694482,1137.7448032344691,-4674.689325417855,-10457.410638259866,-9448.627791903109,-6688.086887656974,-14245.824426435474,0.0
2064.4631150225377,-182.5164790015541,1137.8877105650197,-4671.11664215409,-10451.563346651503,-9443.7808516086,-6687.801072995873,-14246.538963088227,0.0
2064.344025580412,-183.77882708808448,1136.5658177574267,-4670.69982910665,-10448.038299164587,-9443.8761231623,-6689.3968715203555,-14259.62689277782,0.0
2062.9625880517565,-182.12348384253994,1139.340601758951,-4667.627321499813,-10444.060711797594,-9443.983303660214,-6699.066934220947,-14277.406946487159,0.0
2064.344025580412,-180.8730447002221,1140.1742278538297,-4668.306131319928,-10446.192412811642,-9447.103447043903,-6699.340839937835,-14294.889276591184,0.0
2064.320207691987,-177.09790938484346,1146.0572462948296,-4665.32889526679,-10446.001869704241,-9446.138822562687,-6694.803532192853,-14308.73937871038,0.0
2063.26031165707,-183.1238351563942,1141.781935322524,-4668.5204923157535,-10449.646006633282,-9448.25861463252,-6702.103714995147,-14317.182820157079,0.0
2061.3786984714866,-181.909122846714,1141.4723027729976,-4669.306482633781,-10448.788562649977,-9446.555635610124,-6695.791974562495,-14305.416783275077,0.0
2058.806366521576,-181.39703824557432,1140.245681519105,-4669.5446615180335,-10447.931118666675,-9447.698894254529,-6698.209490237643,-14287.624820621528,0.0
2058.0203762035476,-182.87374732793063,1138.626065106198,-4671.045188488814,-10450.8964457756,-9449.747232659089,-6701.127181569718,-14270.97611661238,0.0
2061.5454236904625,-181.48040085506221,1140.8411287297324,-4669.330300522207,-10449.074377311079,-9446.412728279573,-6695.613340399306,-14252.94597507458,0.0
2062.7601360001427,-179.4201535062909,1142.3773825331514,-4667.6154125555995,-10445.930416038966,-9442.69713768526,-6692.517014904043,-14247.694130676844,0.0
2061.2596090293614,-178.07444281027264,1142.6512882500401,-4668.020316658826,-10446.871222631757,-9442.447049856795,-6692.683740123019,-14264.402379407053,0.0
2061.62878629995,-177.57426715334552,1142.7584687479532,-4667.7106841093,-10446.41868275168,-9441.970692088293,-6691.671479864952,-14279.014653955852,0.0
2061.771693630501,-179.99178282849334,1140.3766799054429,-4670.807009604564,-10448.574201654152,-9443.721306887539,-6692.5646506808935,-14298.176145193847,0.0
2059.997260942831,-181.82576023722615,1138.8404261020237,-4672.760076455422,-10451.420439320953,-9445.936370511072,-6694.470081754902,-14311.978611536195,0.0
2061.4263342483373,-178.68179896511273,1141.48421171721,-4670.592648608737,-10448.216933327776,-9441.399062766091,-6688.9443316402785,-14313.96740521969,0.0
2063.82003203506,-178.0625338660601,1142.1392036489003,-4669.770931458072,-10448.228842271988,-9441.946874199866,-6686.300546025092,-14298.068964695934,0.0
2064.2130271940737,-177.35990615751962,1142.341655700514,-4669.568479406458,-10449.39591880482,-9441.637241650342,-6684.14502712262,-14279.443375947505,0.0
2064.2249361382865,-176.03801334992647,1143.4968232891313,-4666.305428692219,-10445.656510322078,-9437.56438272965,-6679.679173042913,-14261.984863731906,0.0
2066.5590892039468,-176.52628006264104,1142.7703776921658,-4665.995796142693,-10444.191710183934,-9438.064558386575,-6682.096688718061,-14249.1708397592,0.0
2068.6788812737805,-179.5630608368415,1140.1742278538297,-4669.246937912719,-10445.85896237369,-9443.018679178997,-6688.2655218201635,-14242.275561060134,0.0
2068.6907902179933,-178.36025747137387,1141.6152101035482,-4667.996498770402,-10443.917804467046,-9440.124805735348,-6689.504052018268,-14255.399217582366,0.0
2064.189209305649,-182.4688432247039,1137.673349569194,-4672.42662601747,-10447.704848726637,-9442.161235195694,-6693.803180878999,-14281.634621682615,0.0
2062.9983148843935,-186.45833953590844,1133.564763815864,-4676.142216611786,-10451.1822604367,-9444.150028879189,-6690.206679726808,-14301.522558517574,0.0
2062.248051399003,-185.05308411882743,1134.5889330181433,-4676.0707629465105,-10452.277883304256,-9447.103447043903,-6693.707909325299,-14314.586670318742,0.0
2061.2477000851486,-183.13574410060676,1138.9237887115116,-4673.236434223924,-10451.432348265165,-9447.424988537641,-6690.552039108973,-14321.839217344186,0.0
2060.2711666597197,-183.26674248694482,1139.1619675957627,-4672.7481675112085,-10450.277180676547,-9445.591011128909,-6688.646608034965,-14306.893492357436,0.0
2059.4732673974786,-184.12418647024847,1138.2926146682466,-4673.010164283885,-10448.991014701593,-9447.413079593429,-6691.742933530228,-14291.912040538045,0.0
2061.974145682115,-182.05203017726464,1139.316783870526,-4671.080915321451,-10447.311853567622,-9447.639349533467,-6697.221047868001,-14272.23846469891,0.0
2064.653658129939,-180.13469015904394,1141.2460328329591,-4667.925045105126,-10443.75107924807,-9443.626035333837,-6694.053268707463,-14255.184856586538,0.0
2063.6175799834464,-179.59878766947915,1139.8884131927284,-4669.520843629608,-10444.191710183934,-9444.340571986591,-6692.933827951482,-14249.551925974001,0.0
2061.3072448062117,-180.61104792754597,1139.1857854841878,-4672.247991854282,-10446.859313687544,-9445.65055584997,-6695.315616793993,-14261.329871800215,0.0
2061.616877355738,-180.48004954120793,1138.709427715686,-4672.33135446377,-10446.906949464395,-9446.543726665912,-6696.625600657373,-14282.206251004816,0.0
2060.2830756039325,-181.87339601407635,1136.8397234743154,-4673.438886275537,-10449.646006633282,-9449.52096271905,-6697.399682031189,-14303.070721265207,0.0
2062.3075961200657,-179.31297300837792,1139.447782256864,-4669.961474565473,-10445.442149326253,-9445.090835471981,-6694.0889955401,-14313.002780738474,0.0
