EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Trigger
-531.1150939913422,10966.934816393852,14099.45159311901,11933.810088066642,-2989.109270517622,1367.8136964767386,1284.689265873134,-24003.024871829988,0.0
-529.5788401879231,10966.720455398026,14098.41551497252,11933.905359620341,-2989.406994122936,1371.4340155173543,1286.809057942968,-24004.584943521833,0.0
-526.958872461162,10969.852507725927,14100.582942819203,11938.133034815797,-2984.822050601104,1371.4816512942045,1288.666853240126,-23989.246223376067,0.0
-525.8989764262449,10969.102244240537,14100.65439648448,11938.7999356917,-2984.6195985494905,1368.0161485283522,1287.2258709904074,-23964.630435688723,0.0
-524.9105340566032,10968.69734013731,14099.880315110664,11939.061932464378,-2982.011539766942,1370.933839860427,1283.8794576666805,-23939.085750352802,0.0
-523.5171875837348,10969.471421511125,14099.868406166452,11938.966660910677,-2981.3922746678895,1373.613352308251,1283.891366610893,-23915.613221309864,0.0
-524.0769079617246,10966.160735020037,14097.48661732394,11936.17996796494,-2982.4998064796564,1374.8757003947815,1293.8829708052233,-23912.46926003775,0.0
-526.2205179199838,10964.529209662918,14096.51008389851,11932.416741593774,-2988.2994623111686,1372.874997767073,1295.4192246086423,-23927.272077693953,0.0
-526.1252463662834,10964.91029587772,14096.581537563787,11932.881190418062,-2990.0858039430514,1375.9117785412734,1294.3950554063629,-23949.101172435556,0.0
-527.328049731751,10964.993658487207,14092.699221750496,11929.439505540635,-2988.4542785859317,1373.827713304077,1296.4433938109216,-23973.82414062081,0.0
-530.0790158448503,10959.027277436719,14085.851578828278,11921.162789312913,-2996.302272822003,1361.4662292114492,1291.3225477995247,-23988.353052560124,0.0
-530.6982809439029,10957.848291959675,14088.019006674964,11925.712006002108,-2992.408048064499,1363.7408375560465,1292.8230747703062,-23982.255673123298,0.0
-529.2930255268219,10966.184552908462,14097.141257941776,11935.334432925849,-2983.3810683513852,1371.6841033458177,1291.1677315247618,-23969.23919709898,0.0
-526.1490642547085,10970.459863880767,14100.440035488653,11939.383473958116,-2980.1775623582093,1372.577274161759,1288.7859426822515,-23941.943896963814,0.0
-525.5297991556558,10970.340774438642,14100.04704032964,11938.3235779232,-2980.1656534139966,1369.242769782245,1283.1053762928648,-23907.503230301118,0.0
-522.8621956520445,10968.709249081523,14098.165427144055,11938.311668978988,-2977.855318236762,1371.9818269511318,1288.535854853788,-23884.92387207412,0.0
-521.8975711708279,10972.90119744434,14100.261401325466,11938.740390970637,-2977.5814125198726,1374.566067845255,1289.5362061676421,-23886.305309602776,0.0
-522.3382021066922,10974.496995968822,14100.55912493078,11938.144943760011,-2977.1765084166464,1374.7089751758056,1288.6549442959133,-23903.537551878337,0.0
-523.2909176436963,10969.4476036227,14093.13985268636,11930.29694952394,-2985.3817709790937,1369.373768168583,1288.845487403314,-23921.960688575153,0.0
-525.0177145545161,10967.315902608654,14091.174876891288,11928.022341179341,-2989.0973615734097,1366.4441678922954,1282.5932916917252,-23942.122531127003,0.0
-526.8159651306113,10971.364943640921,14091.627416771365,11931.464026056768,-2983.238161020835,1372.6487278270345,1288.107132862136,-23958.60450991717,0.0
-527.8758611655284,10974.104000809808,14085.351403171351,11929.475232373274,-2982.8451658618205,1374.2207084630911,1295.8836734329316,-23957.80661065493,0.0
-529.6622027974109,10974.306452861421,14084.422505522773,11930.72567151559,-2979.0819394906543,1375.0305166695446,1298.3488248849299,-23941.658082302714,0.0
-528.4832173203685,10973.60382515288,14095.081010593007,11939.061932464378,-2973.389464157055,1378.3412031606338,1303.1719472910129,-23915.87521808254,0.0
-528.1140400497793,10961.063706897065,14090.53179390381,11928.034250123554,-2984.941140043229,1372.25573266802,1297.8248313395777,-23886.82930314813,0.0
-527.911587998166,10957.598204131213,14086.542297592607,11921.353332420314,-2989.7523535051,1371.5292870710546,1294.3712375179377,-23861.02262103953,0.0
-527.7091359465527,10961.313794725529,14088.685907550866,11922.27032112468,-2989.216451015535,1375.2925134422208,1301.1116999422416,-23861.80861135756,0.0
-527.673409113915,10964.73166171453,14089.305172649918,11923.818483872312,-2989.275995736598,1371.969918006919,1296.7411174162355,-23874.78936054924,0.0
-530.4124662828017,10966.839544840152,14091.50832732924,11927.141079307614,-2986.536938567711,1371.5650139036923,1294.3355106853003,-23893.260133022904,0.0
-532.127354249409,10968.61397752782,14094.009205613876,11929.64195759225,-2984.7029611589783,1378.65083571016,1307.3400777654056,-23912.052446990314,0.0
-532.020173751496,10969.030790575262,14094.211657665488,11931.547388666258,-2978.486492280027,1383.9384069405326,1306.3397264515513,-23935.941789080687,0.0
-530.614918334415,10967.685079879244,14091.97277615353,11929.201326656384,-2979.7012045897072,1376.745404636152,1303.0528578488872,-23946.27875265718,0.0
-531.8534485325204,10968.387707587783,14091.008151672315,11928.736877832096,-2981.797178771116,1372.184279002745,1294.549871681126,-23933.14318719074,0.0
-534.8545024740831,10968.387707587783,14091.41305577554,11930.99957723248,-2979.617841980219,1374.4231605147045,1295.4668603854925,-23900.965219928425,0.0
-532.9728892885001,10971.424488361983,14096.236178181622,11934.834257268922,-2976.497698596531,1376.2333200350124,1296.3004864803709,-23867.56063141222,0.0
-533.4849738896398,10970.733769597657,14094.699924378205,11932.190471653736,-2977.9148629578244,1377.7338470057937,1296.800662137298,-23843.29020310704,0.0
-532.6870746273988,10971.472124138834,14096.152815572135,11935.096254041599,-2972.365294954776,1385.153119250213,1303.648305059515,-23844.600186970423,0.0
-534.0685121560548,10975.533074115314,14099.868406166452,11937.382771330407,-2971.7817566883605,1383.6168654467938,1302.7551342435736,-23858.509833810684,0.0
-532.1035363609839,10977.8910450694,14101.118845308769,11936.144241132302,-2974.9019000720486,1381.913886424399,1304.7915637039198,-23880.219839110163,0.0
-528.2688563245425,10983.631156179848,14106.63268647918,11943.349152380895,-2967.732715656093,1390.2263294847594,1315.0213467825008,-23897.630715548912,0.0
-522.7550151541315,10992.896314777214,14115.862118243906,11953.281211854162,-2957.5982041312122,1398.3244115492942,1324.5723200409668,-23903.68045920889,0.0
