EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Trigger
-198.66500735377306,10423.482056198307,14132.082100261401,11959.71204172894,-2639.962844094057,1235.850685657463,642.4041776576298,-24293.853198444693,0.0
-198.03383331050784,10423.434420421458,14132.320279145652,11962.129557404089,-2640.856014909998,1231.5158299640946,642.1183629965286,-24283.31378281658,0.0
-199.97499121715364,10420.064189209306,14128.366509667085,11957.47316021698,-2645.0836901054536,1225.9543530168332,635.6518062891133,-24295.71099374185,0.0
-199.67726761183988,10422.42216016339,14128.926230045075,11952.959670360424,-2649.5138173525224,1224.9182748703413,639.9628440940568,-24315.70611107472,0.0
-200.97534253100793,10422.981880541382,14129.783674028378,11954.269654223803,-2647.417843171114,1226.0138977378958,639.5460310466176,-24343.418224257326,0.0
-201.89233123537431,10422.898517931892,14130.200487075817,11955.389094979784,-2646.905758569974,1224.5729154881774,634.28227770467,-24362.01999511733,0.0
-201.72560601639861,10421.266992574772,14129.0453194872,11956.77053250844,-2646.7152154625733,1222.5841218046814,627.3869990056031,-24370.713524392493,0.0
-200.02262699400384,10422.314979665478,14131.200838389672,11959.092776629888,-2644.869329109628,1220.869233838074,624.7432133904168,-24356.69669705432,0.0
-201.11824986155852,10420.719181140996,14128.890503212437,11957.19925450009,-2645.643410483444,1218.9518938198535,624.4931255619532,-24329.973026241358,0.0
-200.8086173120322,10420.361912814618,14130.784025342233,11959.450044956264,-2644.4286981737637,1219.094801150404,621.5754342298784,-24297.94987525381,0.0
-198.2124674736961,10419.433015166042,14130.81975217487,11961.033934536532,-2641.8444572796398,1218.8685312103655,614.823062861362,-24271.893105316747,0.0
-199.2366366759755,10417.360858873057,14129.22395365039,11958.687872526662,-2642.49944921133,1218.380264497651,618.6458339535908,-24269.1897749805,0.0
-199.08182040121233,10420.576273810446,14130.391030183218,11957.18734555588,-2643.7856151862857,1219.225799536742,628.7208007574088,-24286.588742475033,0.0
-196.90248361031553,10420.50482014517,14129.97421713578,11956.877713006354,-2644.893146998053,1219.30916214623,624.6360328925039,-24308.012933113412,0.0
-197.8551991473196,10420.052280265094,14130.152851298966,11958.580692028749,-2644.7621486117146,1219.96415407792,622.1589724962932,-24329.92539046451,0.0
-199.10563828963743,10423.005698429806,14131.963010819276,11960.902936150194,-2642.189816661804,1222.2983071435801,622.7544197069209,-24343.501586866816,0.0
-198.54591791164754,10422.874700043469,14131.891557154,11961.057752424958,-2641.38000845535,1223.2391137363718,622.2423351057812,-24345.180748000785,0.0
-198.7960057401111,10419.456833054464,14130.271940741093,11960.426578381694,-2641.7491857259397,1222.1077640361793,623.4808653038864,-24333.65289000304,0.0
-199.4748155602265,10418.635115903799,14131.319927831797,11960.331306827993,-2643.4164379156964,1220.869233838074,620.5512650275989,-24314.372309322916,0.0
-198.6530984095605,10418.516026461673,14131.486653050773,11958.723599359299,-2645.44095843183,1220.8335070054366,620.9918959634633,-24289.64934113766,0.0
-196.21176484598757,10418.301665465848,14129.22395365039,11957.437433384344,-2645.464776320255,1221.7147688771652,621.2896195687772,-24265.486093330393,0.0
-193.9014296687527,10420.933542136821,14132.820454802579,11961.9509232409,-2640.6654718025975,1227.8597840908415,626.7915517949756,-24251.242996052184,0.0
-194.52069476780537,10419.885555046118,14133.546900399546,11965.440243895177,-2636.306798220804,1233.278353707552,630.3285082261032,-24264.592922514454,0.0
-195.41386558374666,10416.146146563375,14129.59313092098,11959.843040115278,-2641.5110068416884,1227.3000637128516,626.06510619801,-24289.053893927034,0.0
-194.8303273173317,10414.06208132618,14126.937436361579,11952.745309364596,-2649.3947279103973,1219.9284272452824,623.9572230723885,-24315.277389083072,0.0
-195.1161419784329,10415.181522082159,14129.914672414716,11955.520093366124,-2649.1089132492957,1220.2261508505965,623.3379579733358,-24339.33345639242,0.0
-195.2114135321333,10413.54999672504,14128.961956877713,11957.294526053793,-2646.1674040287958,1220.6667817864607,624.1358572355767,-24346.752728636842,0.0
-196.22367379020014,10411.763655093158,14127.699608791183,11956.794350396865,-2646.0959503635204,1220.8215980612238,623.3736848059735,-24334.60560554004,0.0
-194.37778743725474,10411.787472981583,14127.592428293268,11957.270708165368,-2644.3691534527006,1222.5483949720438,621.9922472773176,-24313.36004906485,0.0
-192.75817102434783,10411.704110372095,14127.794880344883,11956.413264182063,-2646.00067880982,1219.678339416819,619.1579185547305,-24284.778582954725,0.0
-193.32980034655026,10412.168559196385,14129.533586199914,11958.044789539183,-2645.0360543286038,1219.225799536742,619.7295478769329,-24261.87768323399,0.0
-195.56868185850985,10409.548591469622,14126.961254250004,11956.794350396865,-2647.0724837889497,1214.104953525345,610.7621128848822,-24254.196414216894,0.0
-195.44959241638432,10409.95349557285,14126.675439588904,11956.627625177889,-2646.953394346824,1212.9616948809403,607.3561548400927,-24263.628298033236,0.0
-193.24643773706242,10413.180819454452,14129.009592654562,11957.544613882257,-2646.3103113593465,1216.6415586426185,610.5239340006311,-24285.469301719055,0.0
-195.98549490594908,10410.13212973604,14127.116070524768,11955.9726332462,-2646.9891211794616,1217.106007466908,612.1435504135382,-24309.82309263372,0.0
-198.4030105810969,10405.416187827868,14124.710463793832,11954.650740438605,-2647.7393846648524,1214.3074055769584,609.3687664120137,-24321.231861189342,0.0
-198.36728374845927,10408.643511709468,14125.365455725523,11954.674558327031,-2649.59717996201,1212.759242829327,610.7740218290947,-24324.875998118387,0.0
-196.06885751543697,10407.690796172465,14124.88909795702,11953.948112730066,-2650.228354005276,1214.188316134833,611.2027438207466,-24313.074234403746,0.0
-194.4373321583175,10403.546483586497,14122.531127002934,11952.161771098183,-2652.0742403582212,1212.8545143830272,609.7260347383902,-24291.102232331592,0.0
-193.04398568544906,10402.962945320083,14121.733227740693,11953.0311240257,-2650.537986554802,1214.7837633454606,609.547400575202,-24267.200981297003,0.0
-193.6394328960766,10399.235445781555,14119.399074675035,11952.304678428734,-2649.787723069411,1215.2958479466001,611.298015374447,-24245.312341834335,0.0
-192.51999214009683,10398.2350944677,14119.184713679208,11950.55406362949,-2651.7765167529074,1213.5571420915678,611.6195568681859,-24234.117934274534,0.0
-194.54451265623047,10398.723361180415,14119.458619396097,11950.613608350552,-2652.598233903573,1212.9616948809403,607.4395174495804,-24245.205161336424,0.0
-198.188649585271,10399.044902674153,14118.982261627594,11950.565972573702,-2654.0034893206544,1212.2471582281873,606.1890783072627,-24267.641612232866,0.0
-200.18935221297954,10397.532466759158,14118.458268082242,11951.161419784328,-2652.0504224697956,1212.4734281682256,604.271738289042,-24290.24478834829,0.0
-198.2124674736961,10396.841747994831,14120.256518658338,11950.637426238976,-2652.4910534056603,1213.973955139007,611.536194258698,-24308.382110384006,0.0
-197.09302671771633,10394.495685984959,14119.089442125507,11949.11308137977,-2653.955853543804,1214.7599454570354,609.8332152363032,-24317.61154214873,0.0
-194.37778743725474,10394.888681143973,14118.470177026455,11951.733049106531,-2651.0024353790914,1215.891295157228,606.7130718526149,-24303.27317331682,0.0
-194.0205191108782,10400.414431258596,14122.114313955495,11958.818870912999,-2646.0244966982455,1216.41528870258,606.4987108567889,-24277.32358387767,0.0
-194.5326037120179,10397.282378930695,14117.529370433664,11950.923240900078,-2654.563209698644,1208.5196586896589,604.3670098427424,-24254.6727719854,0.0
-194.40160532567984,10393.75733144378,14114.671223822652,11947.398193413163,-2653.6224031058528,1209.5081010593005,605.7246294829732,-24235.642279133743,0.0
-193.6632507845017,10392.185350807724,14116.398020733472,11949.077354547131,-2653.015046951012,1210.4608165963048,601.5684079527929,-24227.901465395586,0.0
-194.0919727761535,10390.196557124227,14116.290840235559,11947.3386486921,-2655.4682894587977,1209.281831119262,600.2107883125622,-24239.786591719712,0.0
-195.3543208626839,10391.923354035047,14119.029897404445,11949.72043753461,-2653.824855157466,1211.13962641642,602.973663369874,-24261.24650919073,0.0
-197.39075032303012,10389.112843200886,14114.302046552062,11945.433217618092,-2660.398592362794,1207.352582156829,609.3568574678012,-24288.10117839003,0.0
-197.25975193669206,10388.279217106006,14114.040049779387,11949.506076538784,-2655.8374667293874,1207.8646667579685,601.5684079527929,-24301.30819752175,0.0
-197.42647715566775,10387.195503182666,14114.575952268951,11950.732697792677,-2652.9674111741624,1204.5301623784544,587.0037691808433,-24305.94077682043,0.0
-197.47411293251795,10388.124400831244,14116.886287446185,11950.04197902835,-2656.635365991628,1200.457303457762,593.7561405493595,-24291.114141275804,0.0
-197.81947231468192,10384.551717567478,14114.135321333088,11947.410102357375,-2658.6717954519745,1204.1848029962905,600.8538713000398,-24272.107466312573,0.0
-197.1763893272042,10383.241733704099,14110.824634841998,11944.230414252625,-2660.3866834185815,1204.9350664816811,600.2822419778374,-24251.183451331122,0.0
-198.49828213479734,10380.990943247925,14107.93076139835,11941.229360311061,-2663.5068268022696,1201.3028384968532,595.6972984560055,-24232.629316247967,0.0
-198.534008967435,10381.681662012254,14108.288029724725,11939.002387743314,-2666.7579685722962,1199.3378627017821,593.7680494935721,-24216.468878951535,0.0
-196.98584621980336,10382.467652330282,14108.978748489051,11938.490303142175,-2667.948862993551,1199.8142204702842,594.8755813053394,-24222.637712053638,0.0
-195.2352314205584,10383.777636193663,14110.64600067881,11942.52743523023,-2663.7092788538835,1200.6121197325251,592.9939681197563,-24240.48921942825,0.0
-195.2352314205584,10386.09988031511,14114.3377733847,11946.945653533086,-2659.9222345942917,1201.433836883191,596.3761082761207,-24262.878034547844,0.0
-196.06885751543697,10387.195503182666,14116.374202845045,11949.422713929298,-2656.099463502063,1205.1017917006568,602.0924014981453,-24281.2416265236,0.0
-200.43944004144313,10380.895671694225,14110.51500229247,11943.754056484122,-2661.8157567240874,1197.003709636122,585.9081463132885,-24292.745666632924,0.0
-205.34592505701406,10372.130688753788,14101.011664810856,11935.084345097384,-2670.6641022740127,1188.6436307989115,580.2275799239019,-24288.18454099952,0.0
-206.70354469724487,10370.08235034923,14098.153518199842,11931.690295996808,-2672.676713845934,1190.513335040282,582.2878272726731,-24270.071036852227,0.0
-205.9890080444918,10367.224203738217,14095.605004138357,11929.356142931148,-2674.2010587051404,1188.2982714167476,578.9056871163087,-24249.13511292656,0.0
-201.73751496061115,10370.534890229306,14099.761225668539,11933.786270178216,-2671.7597251415677,1189.905978885442,581.4065654009444,-24231.962415372065,0.0
-198.1171959199957,10375.26274108169,14105.406065225288,11940.252826885631,-2665.3169863225776,1191.9543172900005,582.6927313758998,-24216.63560417051,0.0
-199.72490338869008,10373.666942557207,14103.857902477655,11939.836013838194,-2666.3768823574947,1191.8590457363002,580.5133945850031,-24224.507416295008,0.0
-203.61912814619419,10367.438564734044,14098.034428757717,11934.381717388846,-2672.4028081290453,1187.2383753818303,577.5004316992276,-24245.538611774373,0.0
-207.203720354172,10362.496352885833,14094.890467485604,11930.189769026027,-2676.8805711529644,1182.4152529757473,567.627916947023,-24272.786276132687,0.0
-205.27447139173876,10363.401432645987,14096.795898559612,11932.095200100033,-2674.7607790831303,1186.9168338880918,579.0605033910718,-24287.6962742868,0.0
-202.85695571659096,10366.72402808129,14099.618318337987,11935.120071930023,-2672.4147170732576,1187.2026485491929,577.8815179140292,-24293.817471612052,0.0
-201.33261085738442,10365.509315771611,14099.058597959996,11935.01289143211,-2672.37899024062,1188.7508112968244,573.4752085553855,-24280.30081993081,0.0
-199.355726118101,10365.163956389446,14099.356321565312,11937.025503004032,-2667.2224173965856,1193.3357548186566,576.6548966601366,-24253.21988079147,0.0
-199.66535866762732,10362.162902447883,14095.319189477257,11932.666829422238,-2672.33135446377,1186.0712988490006,576.5834429948612,-24226.127032707915,0.0
-200.2012611571921,10360.781464919228,14094.485563382377,11931.27348294937,-2675.034684800019,1182.1770740914963,573.0345776195212,-24207.10844880047,0.0
-200.61807420463137,10361.007734859266,14097.24843843969,11933.679089680303,-2673.903335099827,1182.558160306298,569.5333480210312,-24195.890223352246,0.0
-198.83173257274876,10365.199683222083,14099.284867900036,11935.29870609321,-2672.617169124871,1184.177776719205,572.2604962457053,-24201.070614084707,0.0
-198.20055852948357,10363.770609916577,14094.902376429818,11930.963850399841,-2676.308941830762,1184.332592993968,573.6657516627863,-24226.317575815316,0.0
-200.61807420463137,10359.16184850632,14090.829517509124,11926.61708576226,-2681.739420391685,1180.8432723396907,574.6422850882155,-24253.94632638843,0.0
-200.65380103726903,10359.388118446359,14092.520587587307,11929.022692493198,-2678.2620086816205,1182.2485277567719,574.999553414592,-24271.130932887143,0.0
-202.13051011962534,10359.20948428317,14093.568574678011,11929.725320201736,-2677.4760183635917,1181.1171780565794,571.3911433181892,-24282.849333992293,0.0
-204.05975908205858,10356.327519783734,14091.782233046128,11929.64195759225,-2679.0003632227986,1180.783727618628,567.6755527238732,-24273.083999738003,0.0
-203.4524029272185,10355.982160401569,14091.675052548215,11929.344233986936,-2678.452551789021,1181.7245342114195,567.1991949553712,-24249.230384480263,0.0
-200.45134898565567,10356.256066118458,14093.127943742147,11930.701853627166,-2676.5233028265875,1181.8793504861826,567.1039234016707,-24223.56660970222,0.0
-199.0341846243621,10355.112807474052,14092.520587587307,11933.738634401367,-2672.033630858456,1183.8562352254662,569.5333480210312,-24201.320701913173,0.0
-199.15327406648763,10354.338726100237,14090.698519122787,11932.059473267398,-2675.689676731709,1182.5462513620855,568.7592666472153,-24190.245383795496,0.0
-201.88042229116178,10352.564293412566,14089.019357988816,11927.557892355053,-2679.6791730429136,1178.7830249909193,564.4601377864846,-24204.11930380312,0.0
-201.72560601639861,10354.660267593976,14092.02041193038,11928.963147772134,-2677.9404671878815,1180.8432723396907,563.3526059747172,-24223.20934137584,0.0
-202.22578167332574,10355.410531079368,14094.390291828677,11931.297300837794,-2678.0595566300067,1182.0698935935834,565.1984923276626,-24245.967333766024,0.0
-204.45275424107274,10352.504748691505,14092.937400634746,11929.117964046898,-2683.2637652508915,1176.806140251636,561.7806253386607,-24263.509208591113,0.0
-207.79916756479955,10348.3247092729,14089.757712529994,11926.319362156948,-2684.8952906080112,1172.721372386731,556.1953305029742,-24272.619550913714,0.0
-208.95433515341696,10345.609469992438,14086.732840700008,11925.25946612203,-2685.562191483914,1172.3641040603545,556.2906020566746,-24260.150886323172,0.0
-206.21527798453027,10344.859206507048,14085.256131617652,11923.651758653337,-2687.8487087727235,1171.2208454159497,554.7067124764054,-24235.844731185356,0.0
-203.96448752835818,10347.443447401169,14086.208847154654,11924.711654688252,-2687.5390762231978,1172.185469897166,559.8156495435896,-24210.049958020973,0.0
-203.2975866524553,10346.586003417866,14084.100964029034,11922.699043116332,-2689.111056859254,1171.6972031844516,557.7196753621807,-24191.26955299778,0.0
-203.71439969989459,10345.752377322988,14082.802889109866,11921.662964969839,-2688.5632454254765,1171.8877462918524,556.1596036703365,-24185.874801269492,0.0
-203.23804193139256,10348.824884929827,14086.316027652567,11924.628292078765,-2689.0276942497662,1168.005430478561,549.3715054691826,-24198.27201219476,0.0
-202.97604515871646,10351.159037995485,14090.543702848023,11928.546334724693,-2688.0749787127625,1167.1122596626196,547.3827117856866,-24219.74383860999,0.0
-204.71475101374887,10344.430484515395,14088.590635997165,11928.403427394143,-2685.717007758677,1172.352195116142,552.5511935739337,-24247.837038007394,0.0
-205.71510232760312,10339.952721491476,14086.208847154654,11926.09309221691,-2687.9916161032743,1171.5662047981136,555.3855222965208,-24263.64020697745,0.0
-205.34592505701406,10339.988448324113,14085.946850381979,11924.640201022978,-2689.9327740099197,1171.077938085399,553.9921758236522,-24267.677339065503,0.0
-204.34557374315978,10341.88197045391,14088.56681810874,11926.950536200213,-2688.098796601187,1172.9000065499192,554.0517205447151,-24253.243698679893,0.0
-203.95257858414564,10339.333456392424,14085.494310501903,11923.520760266998,-2692.5765596251063,1170.2443119905204,549.8478632376847,-24233.975026943986,0.0
-203.79776230938245,10339.547817388247,14084.327233969072,11923.449306601722,-2690.4091317784223,1173.9003578637737,552.4797399086583,-24210.240501128374,0.0
-203.0117719913541,10339.571635276674,14083.743695702658,11924.890288851442,-2688.0749787127625,1175.5199742766804,551.9081105864559,-24189.614209752235,0.0
-201.71369707218605,10341.048344359031,14087.375923687485,11925.271375066242,-2691.6952977533774,1168.0411573111985,546.4657230813202,-24180.646774760182,0.0
-202.8212288839533,10341.381794796982,14088.721634383503,11927.141079307614,-2689.6707772372442,1168.3150630280873,547.2040776224984,-24190.48356267975,0.0
-203.76203547674479,10339.381092169273,14084.50586813226,11922.937222000583,-2694.8273500812784,1168.4341524702127,548.6569688164295,-24212.169750090805,0.0
-203.333313485093,10338.833280735496,14084.053328252183,11923.925664370227,-2695.2560720729302,1166.5049035077795,546.0608189780935,-24233.06994718383,0.0
-202.8450467723784,10337.511387927902,14084.339142913284,11924.461566859789,-2694.779714304428,1166.409631954079,544.7865619473505,-24247.94421850531,0.0
-200.14171643612934,10339.13100434081,14086.351754485206,11926.867173590725,-2692.719466955657,1168.636604521826,546.1441815875813,-24251.016726112146,0.0
-200.2250790456172,10339.559726332462,14086.93529275162,11927.021989865487,-2691.5285725344015,1169.9823152178444,546.2394531412817,-24240.23913159979,0.0
-199.87971966345324,10338.821371791284,14086.542297592607,11924.723563632466,-2695.2203452402928,1167.398074323721,542.8573129849173,-24219.589022335225,0.0
-203.1070435450545,10333.128896457685,14081.588176800185,11922.198867459405,-2695.708611953007,1166.5763571730547,543.5003959723952,-24194.41351426989,0.0
-202.1424190638379,10330.12784251612,14079.682745726177,11922.627589451058,-2695.375161515056,1165.8141847434515,539.6776248801661,-24176.073740182565,0.0
-199.89162860766578,10332.41435980493,14080.516371821057,11921.293787699251,-2697.5664072501654,1165.3378269749494,539.1179045021764,-24170.476536402664,0.0
-202.22578167332574,10333.545709505124,14082.12407928975,11921.174698257126,-2699.0192984440964,1165.2663733096742,543.0597650365307,-24180.07514543798,0.0
-203.5476744809189,10332.426268749143,14080.218648215741,11917.530561328085,-2702.973067922663,1162.0628673164981,539.6418980475286,-24201.070614084707,0.0
-201.88042229116178,10331.759367873241,14079.50411156299,11917.590106049147,-2701.7107198361327,1164.3612935495203,540.1063468718181,-24222.4114421136,0.0
-201.86851334694921,10331.414008491076,14080.040014052554,11918.471367920876,-2701.627357226645,1165.1830107001863,550.8839413841766,-24235.797095408507,0.0
-203.61912814619419,10330.663745005686,14080.480644988418,11918.483276865089,-2701.65117511507,1166.516812451992,549.6454111860713,-24246.27696631555,0.0
-204.52420790634804,10327.531692677785,14078.372761862798,11916.827933619545,-2703.759058240692,1165.456916417075,542.2261389416522,-24240.465401539826,0.0
-202.88077360501606,10327.007699132433,14078.43230658386,11917.316200332258,-2703.437516746953,1163.9563894462935,543.6671211913708,-24219.553295502585,0.0
-202.20196378490064,10327.900869948375,14079.063480627125,11917.554379216512,-2702.627708540499,1166.5882661172675,548.299700490053,-24195.830678631184,0.0
-200.7133457583318,10328.936948094866,14079.635109949328,11918.804818358829,-2701.913171887746,1165.6355505802633,544.3935667883363,-24173.894403391667,0.0
-200.79670836781963,10329.853936799234,14079.670836781965,11920.567342102286,-2700.638914857003,1165.0162854812106,542.0236868900388,-24163.152535711946,0.0
-202.73786627446543,10328.936948094866,14077.78922359638,11919.054906187292,-2703.1755199742765,1162.6702234713382,542.416682049053,-24174.573213211785,0.0
