EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Trigger
1371.969918006919,-1833.5010509643266,-881.7025026646262,-6808.772128306965,-10433.259299396812,-9319.487200862206,-5463.2877022287585,-12080.361555546293,0.0
1374.6017946778927,-1840.6345085476446,-886.7042592338976,-6809.617663346055,-10430.698876391112,-9315.461977718365,-5466.133939895559,-12067.32126163355,0.0
1374.2683442399414,-1836.537831738527,-882.3813124847417,-6807.354963945671,-10429.627071411984,-9312.889645768453,-5461.644267927427,-12070.6914928457,0.0
1374.970971948482,-1837.15709683758,-887.4783406077134,-6810.725195157823,-10433.6284766674,-9314.282992241322,-5460.620098725147,-12075.919519355011,0.0
1380.591993616806,-1834.5728559434563,-885.4300022031547,-6807.688414383623,-10431.270505713315,-9313.818543417034,-5455.880338928552,-12082.362258174,0.0
1385.9510185124539,-1832.3339744314967,-883.7627500133975,-6803.841825402968,-10426.828469522035,-9310.043408101654,-5453.379460643917,-12090.829517509124,0.0
1378.9842861481116,-1830.4999970227639,-882.3574945963165,-6803.937096956669,-10425.161217332277,-9306.530269558953,-5453.1770085923035,-12099.689772003261,0.0
1379.1391024228747,-1827.1416747548244,-878.1179104566485,-6801.781578054197,-10423.827415580472,-9307.280533044343,-5457.261776457208,-12098.677511745194,0.0
1376.4357720866255,-1827.0583121453367,-877.8440047397598,-6803.746553849268,-10427.245282569473,-9313.949541803371,-5463.275793284547,-12094.437927605528,0.0
1376.5667704729638,-1828.1777529013164,-877.439100636533,-6799.614150207513,-10423.220059425632,-9307.852162366546,-5452.474380883763,-12081.8859004055,0.0
1376.7930404130022,-1830.8334474607154,-882.0597709910028,-6803.47264813238,-10425.851936096604,-9306.125365455724,-5450.17595465074,-12068.29779505898,0.0
1379.1986471439375,-1827.0821300337618,-881.3928701150999,-6804.211002673557,-10426.14965970192,-9302.909950518335,-5450.652312419243,-12055.448044253637,0.0
1379.579733358739,-1824.6169785817638,-872.3777993461989,-6791.516068142978,-10411.263479436231,-9296.276668591945,-5448.318159353582,-12053.483068458565,0.0
1376.8883119667025,-1826.4628649347092,-875.0334939055978,-6790.313264777511,-10408.310061271517,-9298.039192335404,-5453.772455802931,-12056.746119172803,0.0
1374.7089751758056,-1823.1640873878325,-874.2355946433569,-6794.755300968793,-10417.94439713947,-9305.196467807147,-5450.616585586605,-12070.941580674165,0.0
1372.9583603765607,-1822.4733686235045,-868.424029867632,-6793.2785918864365,-10419.349652556552,-9305.803823961987,-5455.86842998434,-12080.15910349468,0.0
1374.4231605147045,-1825.3910599555795,-878.0107299587355,-6800.828862517194,-10420.266641260918,-9300.504343787401,-5448.818335010509,-12089.68625886472,0.0
1377.5552128426054,-1826.7248617073851,-884.5844671640635,-6803.865643291394,-10421.112176300008,-9300.135166516811,-5446.472273000637,-12089.090811654092,0.0
1380.0322732388158,-1830.071275031112,-884.8583728809522,-6801.102768234082,-10414.383622819918,-9298.563185880756,-5455.189620164224,-12085.541946278752,0.0
1381.9257953686115,-1830.869174293353,-879.5827105947922,-6794.231307423441,-10404.153839741339,-9293.656700865184,-5451.354940127783,-12076.765054394102,0.0
